x,y,PanCK+,CAIX+,Pimo+,Necrosis,Celltype
173.08,3004.75,0,0,0,0,CD8
176.92,2645.08,1,0,0,0,CD8
172.17,3653.15,1,0,0,0,CD8
177.45,2724.31,0,0,0,0,CD8
176.45,2697.70,0,0,0,0,CD8
174.14,2886.83,1,0,0,0,CD8
174.25,3218.64,1,0,0,0,CD8
175.84,1284.72,1,0,1,0,CD8
179.36,3121.27,1,0,0,0,CD8
173.63,3707.58,1,0,0,0,CD8
173.72,1185.94,1,0,1,0,CD8
181.74,2817.48,1,0,0,0,CD8
177.95,2928.56,1,0,0,0,CD8
182.64,2870.90,1,0,0,0,CD8
177.33,748.24,1,0,0,0,CD8
178.27,2023.98,1,0,0,0,CD8
180.68,2853.64,0,0,0,0,CD8
182.17,2676.80,0,0,0,0,CD8
182.27,117.69,0,0,0,0,CD8
184.31,1329.75,1,0,1,0,CD8
185.98,1851.95,1,0,0,0,CD8
183.53,1952.16,1,0,0,0,CD8
183.19,2051.65,1,0,0,0,CD8
187.26,2756.62,1,0,1,0,CD8
180.36,2772.39,1,0,0,0,CD8
182.54,3267.46,1,0,0,0,CD8
187.12,3503.69,1,0,0,0,CD8
181.20,3755.85,1,1,0,0,CD8
184.60,1509.57,1,0,1,0,CD8
186.58,2795.41,1,1,0,0,CD8
185.59,1939.75,1,0,0,0,CD8
188.20,3518.09,1,0,0,0,CD8
185.89,3665.91,1,0,0,0,CD8
190.63,2661.80,0,0,0,0,CD8
188.22,3195.52,1,0,0,0,CD8
186.74,178.79,0,0,0,0,CD8
193.33,528.01,0,0,1,0,CD8
188.87,2315.39,0,0,0,0,CD8
185.72,2907.07,1,0,0,0,CD8
184.86,3037.96,1,0,0,0,CD8
189.10,3280.70,1,0,0,0,CD8
192.50,488.69,0,0,0,0,CD8
189.01,545.47,0,0,0,0,CD8
188.50,1558.72,1,0,1,0,CD8
193.22,3135.69,1,0,0,0,CD8
193.89,3766.49,1,0,0,0,CD8
193.68,2619.80,0,0,0,0,CD8
192.99,2779.22,1,0,0,0,CD8
193.84,609.15,0,0,0,0,CD8
195.30,664.06,0,0,0,0,CD8
190.75,798.99,1,0,1,0,CD8
194.13,2697.46,0,0,0,0,CD8
195.52,2940.15,1,0,0,0,CD8
194.22,3546.76,1,0,0,0,CD8
197.13,2715.10,1,1,0,0,CD8
195.53,135.14,0,0,0,0,CD8
197.87,820.61,1,0,1,0,CD8
194.13,1492.36,1,0,1,0,CD8
